athlete_id,event,meet_year,result,position,points
1256,Discus,1990,12.81,17,5
1776,Javelin,1990,30.48,7,8
1162,Discus,1990,53.24,23,3
1601,800m,1990,216.76,13,6
1741,Long Jump,1990,31.51,17,5
1394,Shot Put,1990,9.79,8,8
1143,200m,1990,108.04,19,4
1094,Discus,1990,17.26,8,8
1467,100m,1990,30.59,21,3
1593,100m,1990,76.39,29,1
1164,100m,1990,259.29,3,9
1477,Discus,1990,17.8,22,3
1207,Shot Put,1990,16.18,5,9
1779,Javelin,1990,40.97,8,8
1570,Shot Put,1990,56.81,7,8
1929,200m,1990,38.11,14,6
1748,Long Jump,1990,30.52,15,5
1334,100m,1990,205.28,21,3
1759,200m,1990,27.58,24,2
1728,Long Jump,1990,56.34,4,9
1430,800m,1990,65.56,18,4
1547,Shot Put,1990,11.1,6,8
1147,1500m,1990,144.16,28,1
1351,200m,1990,138.51,28,1
1502,Discus,1990,8.21,21,3
1335,Discus,1990,58.77,3,9
1947,800m,1990,58.23,16,5
1778,Shot Put,1990,16.14,13,6
1553,100m,1990,57.74,1,10
1450,High Jump,1990,19.67,26,2
1665,Shot Put,1990,21.04,23,3
1115,Discus,1990,46.84,16,5
1470,400m,1990,65.07,7,8
1066,100m,1990,177.96,18,4
1647,100m,1990,226.91,2,10
1822,100m,1990,179.41,17,5
1549,Discus,1990,12.28,17,5
1136,200m,1990,256.89,3,9
1433,Javelin,1990,6.16,28,1
1645,800m,1990,127.09,29,1
1436,Javelin,1990,18.37,20,4
2023,100m,1990,189.62,14,6
1811,Javelin,1990,40.22,11,7
1940,1500m,1990,69.24,23,3
1293,Long Jump,1990,17.85,13,6
1543,400m,1990,204.79,10,7
1286,Shot Put,1990,23.16,25,2
1506,200m,1990,12.7,20,4
1539,Javelin,1990,69.73,3,9
1878,Discus,1990,16.1,9,7
1818,400m,1990,280.65,29,1
1742,200m,1990,264.99,12,6
1284,1500m,1990,55.75,27,1
2044,Discus,1990,49.69,20,4
2011,Discus,1990,2.04,27,1
1187,Discus,1990,22.01,22,3
1097,200m,1990,282.29,5,9
1225,1500m,1990,43.47,4,9
1314,Discus,1990,12.15,10,7
1328,Javelin,1990,15.93,11,7
1865,800m,1990,209.37,28,1
1131,1500m,1990,156.57,9,7
1789,100m,1990,36.77,14,6
1782,1500m,1990,22.79,11,7
1959,400m,1990,194.76,9,7
1515,400m,1990,224.96,18,4
1024,High Jump,1990,39.92,4,9
1235,200m,1990,284.06,23,3
1697,400m,1990,168.22,27,1
1229,Long Jump,1990,41.4,5,9
1602,High Jump,1990,10.23,10,7
1891,Long Jump,1990,63.08,26,2
1324,100m,1990,270.69,7,8
1930,800m,1990,203.41,12,6
1007,Discus,1990,62.06,14,6
1540,Javelin,1990,52.84,30,0
2026,800m,1990,260.74,26,2
1366,400m,1990,265.61,1,10
2040,400m,1990,223.6,11,7
1218,High Jump,1990,56.45,28,1
1612,800m,1990,87.37,26,2
1408,200m,1990,120.94,2,10
1766,Shot Put,1990,16.74,27,1
1331,Shot Put,1990,25.45,27,1
